Time (s);IRQ;;FSM;
0.00085875;0;0;1;1.25E-06
0.00086;0;0;1;1.25E-06
0.00086125;0;0;1;1.25E-06
0.0008625;0;0;1;1.25E-06
0.00086375;0;0;1;1.25E-06
0.000865;0;0;1;1.25E-06
0.00086625;0;0;1;1.25E-06
0.0008675;0;0;1;1.25E-06
0.00086875;0;0;1;1.25E-06
0.00087;0;0;1;1.25E-06
0.00087125;0;0;1;1.25E-06
0.0008725;0;0;1;1.25E-06
0.00087375;0;0;1;1.25E-06
0.000875;0;0;1;1.25E-06
0.00087625;0;0;1;1.25E-06
0.0008775;0;0;1;1.25E-06
0.00087875;0;0;1;1.25E-06
0.00088;0;0;1;1.25E-06
0.00088125;0;0;1;1.25E-06
0.0008825;0;0;1;1.25E-06
0.00088375;0;0;1;1.25E-06
0.000885;0;0;1;1.25E-06
0.00088625;0;0;1;1.25E-06
0.0008875;0;0;1;1.25E-06
0.00088875;0;0;1;1.25E-06
0.00089;0;0;1;1.25E-06
0.00089125;0;0;1;1.25E-06
0.0008925;0;0;1;1.25E-06
0.00089375;0;0;1;1.25E-06
0.000895;0;0;1;1.25E-06
0.00089625;0;0;1;1.25E-06
0.0008975;0;0;1;1.25E-06
0.00089875;0;0;1;1.25E-06
0.0009;0;0;1;1.25E-06
0.00090125;0;0;1;1.25E-06
0.0009025;0;0;1;1.25E-06
0.00090375;0;0;1;1.25E-06
0.000905;0;0;1;1.25E-06
0.00090625;0;0;1;1.25E-06
0.0009075;0;0;1;1.25E-06
0.00090875;0;0;1;1.25E-06
0.00091;0;0;1;1.25E-06
0.00091125;0;0;1;1.25E-06
0.0009125;0;0;1;1.25E-06
0.00091375;0;0;1;1.25E-06
0.000915;0;0;1;1.25E-06
0.00091625;0;0;1;1.25E-06
0.0009175;0;0;1;1.25E-06
0.00091875;0;0;1;1.25E-06
0.00092;0;0;1;1.25E-06
0.00092125;0;0;1;1.25E-06
0.0009225;0;0;1;1.25E-06
0.00092375;0;0;1;1.25E-06
0.000925;0;0;1;1.25E-06
0.00092625;0;0;1;1.25E-06
0.0009275;0;0;1;1.25E-06
0.00092875;0;0;1;1.25E-06
0.00093;0;0;1;1.25E-06
0.00093125;0;0;1;1.25E-06
0.0009325;0;0;1;1.25E-06
0.00093375;0;0;1;1.25E-06
0.000935;0;0;1;1.25E-06
0.00093625;0;0;1;1.25E-06
